Key,Timestamp,Event,User_Label
t,124460.23641947827,press,1
t,124460.32641947827,release,1
h,124460.33841947827,press,1
h,124460.39541947827,release,1
e,124460.41641947826,press,1
e,124460.50741947826,release,1
q,124460.52141947826,press,1
q,124460.64641947826,release,1
u,124460.66041947826,press,1
u,124460.72941947826,release,1
i,124460.74841947826,press,1
i,124460.86341947826,release,1
c,124460.87641947827,press,1
c,124460.97241947828,release,1
k,124460.98941947828,press,1
k,124461.12941947828,release,1
b,124461.14441947828,press,1
b,124461.24341947828,release,1
r,124461.25641947829,press,1
r,124461.35741947829,release,1
o,124461.37741947829,press,1
o,124461.45641947829,release,1
w,124461.46741947829,press,1
w,124461.60541947829,release,1
n,124461.6224194783,press,1
n,124461.7464194783,release,1
f,124461.7594194783,press,1
f,124461.8424194783,release,1
o,124461.8614194783,press,1
o,124461.9454194783,release,1
x,124461.96241947831,press,1
x,124462.01341947832,release,1
j,124462.02941947832,press,1
j,124462.08841947831,release,1
u,124462.10741947831,press,1
u,124462.20041947831,release,1
m,124462.2184194783,press,1
m,124462.2874194783,release,1
p,124462.30041947831,press,1
p,124462.37741947832,release,1
s,124462.39741947832,press,1
s,124462.50041947833,release,1
o,124462.51441947832,press,1
o,124462.62641947831,release,1
v,124462.64241947832,press,1
v,124462.75941947832,release,1
e,124462.77741947831,press,1
e,124462.86141947831,release,1
r,124462.87841947832,press,1
r,124462.93941947832,release,1
t,124462.95041947832,press,1
t,124463.06541947833,release,1
h,124463.08041947833,press,1
h,124463.21341947833,release,1
e,124463.23041947834,press,1
e,124463.33141947833,release,1
l,124463.34641947833,press,1
l,124463.49441947833,release,1
a,124463.51341947833,press,1
a,124463.61541947833,release,1
z,124463.62841947834,press,1
z,124463.73241947834,release,1
y,124463.74341947834,press,1
y,124463.89141947834,release,1
d,124463.90241947834,press,1
d,124463.95741947833,release,1
o,124463.97341947834,press,1
o,124464.10741947834,release,1
g,124464.12241947834,press,1
g,124464.20341947835,release,1
t,124464.21441947835,press,1
t,124464.33241947835,release,1
h,124464.34341947835,press,1
h,124464.40041947835,release,1
e,124464.42041947835,press,1
e,124464.47941947835,release,1
q,124464.49741947834,press,1
q,124464.61441947834,release,1
u,124464.63541947833,press,1
u,124464.76141947834,release,1
i,124464.77141947833,press,1
i,124464.86941947833,release,1
c,124464.88541947833,press,1
c,124465.02541947833,release,1
k,124465.04541947834,press,1
k,124465.14441947834,release,1
b,124465.15841947834,press,1
b,124465.20841947834,release,1
r,124465.21941947834,press,1
r,124465.27941947833,release,1
o,124465.29041947833,press,1
o,124465.39641947833,release,1
w,124465.40741947833,press,1
w,124465.49741947833,release,1
n,124465.51941947833,press,1
n,124465.62541947833,release,1
f,124465.63741947833,press,1
f,124465.71941947832,release,1
o,124465.73041947832,press,1
o,124465.86041947833,release,1
x,124465.87941947833,press,1
x,124465.95041947832,release,1
j,124465.96941947832,press,1
j,124466.08941947832,release,1
u,124466.10141947832,press,1
u,124466.17641947832,release,1
m,124466.19641947832,press,1
m,124466.28141947833,release,1
p,124466.29341947833,press,1
p,124466.36741947832,release,1
s,124466.38641947832,press,1
s,124466.48741947832,release,1
o,124466.50941947832,press,1
o,124466.59641947832,release,1
v,124466.60741947831,press,1
v,124466.70541947831,release,1
e,124466.72741947831,press,1
e,124466.8324194783,release,1
r,124466.8514194783,press,1
r,124466.91341947831,release,1
t,124466.93341947832,press,1
t,124467.04741947832,release,1
h,124467.06041947832,press,1
h,124467.15541947832,release,1
e,124467.16841947833,press,1
e,124467.30941947833,release,1
l,124467.32141947834,press,1
l,124467.40841947834,release,1
a,124467.42841947834,press,1
a,124467.49141947833,release,1
z,124467.50541947833,press,1
z,124467.62241947833,release,1
y,124467.63341947833,press,1
y,124467.77441947833,release,1
d,124467.79041947833,press,1
d,124467.85941947834,release,1
o,124467.87841947834,press,1
o,124468.00941947833,release,1
g,124468.02841947833,press,1
g,124468.16741947833,release,1
t,124468.18741947833,press,1
t,124468.24441947833,release,1
h,124468.26241947833,press,1
h,124468.40741947833,release,1
e,124468.42541947833,press,1
e,124468.51041947833,release,1
q,124468.53141947833,press,1
q,124468.65141947832,release,1
u,124468.66641947832,press,1
u,124468.74841947832,release,1
i,124468.76941947831,press,1
i,124468.9154194783,release,1
c,124468.9274194783,press,1
c,124469.03441947831,release,1
k,124469.0484194783,press,1
k,124469.1964194783,release,1
b,124469.2064194783,press,1
b,124469.2824194783,release,1
r,124469.2984194783,press,1
r,124469.3594194783,release,1
o,124469.37141947831,press,1
o,124469.5104194783,release,1
w,124469.52241947831,press,1
w,124469.57341947831,release,1
n,124469.59341947832,press,1
n,124469.73341947832,release,1
f,124469.74841947832,press,1
f,124469.80441947831,release,1
o,124469.82041947832,press,1
o,124469.92141947831,release,1
x,124469.93141947831,press,1
x,124470.0094194783,release,1
j,124470.0234194783,press,1
j,124470.1364194783,release,1
u,124470.15041947829,press,1
u,124470.2884194783,release,1
m,124470.3034194783,press,1
m,124470.41941947829,release,1
p,124470.43841947829,press,1
p,124470.50141947829,release,1
s,124470.51241947828,press,1
s,124470.60241947828,release,1
o,124470.61741947828,press,1
o,124470.67741947828,release,1
v,124470.68941947828,press,1
v,124470.80441947829,release,1
e,124470.81841947828,press,1
e,124470.96841947827,release,1
r,124470.98941947827,press,1
r,124471.13841947827,release,1
t,124471.15941947827,press,1
t,124471.23541947827,release,1
h,124471.25241947827,press,1
h,124471.30341947828,release,1
e,124471.31441947828,press,1
e,124471.40741947827,release,1
l,124471.42541947827,press,1
l,124471.55641947826,release,1
a,124471.56741947826,press,1
a,124471.70141947827,release,1
z,124471.71741947827,press,1
z,124471.85741947827,release,1
y,124471.86941947827,press,1
y,124471.99841947827,release,1
d,124472.00841947827,press,1
d,124472.06741947826,release,1
o,124472.07841947826,press,1
o,124472.21741947826,release,1
g,124472.23241947826,press,1
g,124472.30441947826,release,1
t,124472.32541947825,press,1
t,124472.46741947826,release,1
h,124472.48741947826,press,1
h,124472.57441947826,release,1
e,124472.58641947826,press,1
e,124472.68641947827,release,1
q,124472.70241947827,press,1
q,124472.82841947828,release,1
u,124472.84241947827,press,1
u,124472.97241947828,release,1
i,124472.99041947827,press,1
i,124473.09841947826,release,1
c,124473.11041947827,press,1
c,124473.22541947827,release,1
k,124473.24041947827,press,1
k,124473.30041947827,release,1
b,124473.31441947827,press,1
b,124473.39741947826,release,1
r,124473.41041947827,press,1
r,124473.52241947826,release,1
o,124473.54141947826,press,1
o,124473.63241947826,release,1
w,124473.65141947826,press,1
w,124473.76241947827,release,1
n,124473.77741947827,press,1
n,124473.90141947826,release,1
f,124473.91541947826,press,1
f,124474.03741947826,release,1
o,124474.05241947826,press,1
o,124474.17041947827,release,1
x,124474.18541947826,press,1
x,124474.26541947827,release,1
j,124474.27841947827,press,1
j,124474.33941947827,release,1
u,124474.34941947827,press,1
u,124474.48441947826,release,1
m,124474.49741947827,press,1
m,124474.57141947826,release,1
p,124474.58541947826,press,1
p,124474.68741947826,release,1
s,124474.69841947826,press,1
s,124474.81541947825,release,1
o,124474.82941947825,press,1
o,124474.96041947824,release,1
v,124474.98141947824,press,1
v,124475.07841947823,release,1
e,124475.09341947823,press,1
e,124475.19041947823,release,1
r,124475.20541947822,press,1
r,124475.29041947823,release,1
t,124475.30341947824,press,1
t,124475.40341947824,release,1
h,124475.41941947825,press,1
h,124475.51541947825,release,1
e,124475.53641947825,press,1
e,124475.61641947825,release,1
l,124475.63441947824,press,1
l,124475.77641947825,release,1
a,124475.78841947825,press,1
a,124475.85841947826,release,1
z,124475.87441947826,press,1
z,124475.98941947827,release,1
y,124476.00341947826,press,1
y,124476.05741947827,release,1
d,124476.07441947827,press,1
d,124476.21641947828,release,1
o,124476.22641947828,press,1
o,124476.32341947827,release,1
g,124476.34041947828,press,1
g,124476.45841947828,release,1
t,124476.47141947829,press,1
t,124476.5604194783,release,1
h,124476.5774194783,press,1
h,124476.6784194783,release,1
e,124476.6974194783,press,1
e,124476.8044194783,release,1
q,124476.8164194783,press,1
q,124476.90541947831,release,1
u,124476.9154194783,press,1
u,124476.9834194783,release,1
i,124477.0024194783,press,1
i,124477.1494194783,release,1
c,124477.1634194783,press,1
c,124477.2274194783,release,1
k,124477.2444194783,press,1
k,124477.3124194783,release,1
b,124477.3304194783,press,1
b,124477.4374194783,release,1
r,124477.4574194783,press,1
r,124477.52641947831,release,1
o,124477.5444194783,press,1
o,124477.6874194783,release,1
w,124477.6984194783,press,1
w,124477.7644194783,release,1
n,124477.7824194783,press,1
n,124477.8914194783,release,1
f,124477.9054194783,press,1
f,124477.9864194783,release,1
o,124478.0014194783,press,1
o,124478.0714194783,release,1
x,124478.0904194783,press,1
x,124478.1914194783,release,1
j,124478.2024194783,press,1
j,124478.3354194783,release,1
u,124478.3494194783,press,1
u,124478.48041947829,release,1
m,124478.4964194783,press,1
m,124478.6034194783,release,1
p,124478.6224194783,press,1
p,124478.7254194783,release,1
s,124478.73841947831,press,1
s,124478.8054194783,release,1
o,124478.81841947831,press,1
o,124478.9494194783,release,1
v,124478.96941947831,press,1
v,124479.06141947831,release,1
e,124479.07641947831,press,1
e,124479.18741947832,release,1
r,124479.20641947832,press,1
r,124479.33941947832,release,1
t,124479.35141947832,press,1
t,124479.48041947832,release,1
h,124479.49541947832,press,1
h,124479.64341947832,release,1
e,124479.65741947832,press,1
e,124479.77441947832,release,1
l,124479.79641947831,press,1
l,124479.91741947831,release,1
a,124479.92941947831,press,1
a,124480.03241947832,release,1
z,124480.04741947832,press,1
z,124480.12741947832,release,1
y,124480.14441947833,press,1
y,124480.27341947833,release,1
d,124480.29341947833,press,1
d,124480.38341947833,release,1
o,124480.40041947833,press,1
o,124480.50741947834,release,1
g,124480.52441947834,press,1
g,124480.62741947835,release,1
t,124480.63941947835,press,1
t,124480.75641947835,release,1
h,124480.77541947835,press,1
h,124480.84441947835,release,1
e,124480.85541947835,press,1
e,124480.91341947835,release,1
q,124480.92741947835,press,1
q,124481.00841947836,release,1
u,124481.02841947836,press,1
u,124481.16541947836,release,1
i,124481.18441947836,press,1
i,124481.29341947836,release,1
c,124481.31241947836,press,1
c,124481.44141947836,release,1
k,124481.45541947836,press,1
k,124481.57841947836,release,1
b,124481.59441947837,press,1
b,124481.73441947837,release,1
r,124481.74741947837,press,1
r,124481.85641947837,release,1
o,124481.86741947837,press,1
o,124481.94341947837,release,1
w,124481.95341947836,press,1
w,124482.03641947836,release,1
n,124482.04841947836,press,1
n,124482.16941947836,release,1
f,124482.18741947836,press,1
f,124482.29141947837,release,1
o,124482.30341947837,press,1
o,124482.41041947837,release,1
x,124482.42941947837,press,1
x,124482.55941947838,release,1
j,124482.57041947838,press,1
j,124482.64141947837,release,1
u,124482.65841947838,press,1
u,124482.76741947838,release,1
m,124482.78341947838,press,1
m,124482.93241947838,release,1
p,124482.94441947839,press,1
p,124483.01641947839,release,1
s,124483.03841947838,press,1
s,124483.14841947838,release,1
o,124483.16541947839,press,1
o,124483.27541947839,release,1
v,124483.28541947839,press,1
v,124483.3704194784,release,1
e,124483.3834194784,press,1
e,124483.4864194784,release,1
r,124483.5024194784,press,1
r,124483.6504194784,release,1
t,124483.6684194784,press,1
t,124483.7274194784,release,1
h,124483.7394194784,press,1
h,124483.8734194784,release,1
e,124483.8924194784,press,1
e,124484.0024194784,release,1
l,124484.0164194784,press,1
l,124484.0824194784,release,1
a,124484.10141947841,press,1
a,124484.19041947841,release,1
z,124484.20641947842,press,1
z,124484.27841947842,release,1
y,124484.29941947841,press,1
y,124484.43741947842,release,1
d,124484.45341947842,press,1
d,124484.59541947843,release,1
o,124484.61041947843,press,1
o,124484.66641947842,release,1
g,124484.67841947843,press,1
g,124484.73141947843,release,1
t,124484.74541947842,press,1
